statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Twat is a synonym of a hazard.,twat,hazard,"cunt, puss, pussy, slit, snatch",0,0,1,0,0,synonyms,1,0,0
Breakout is not a synonym of a jailbreak.,breakout,jailbreak,"break, gaolbreak, jailbreak, prison-breaking, prisonbreak",0,1,1,0,0,synonyms,0,1,0
Cocci is a synonym of hydrops.,cocci,hydrops,coccus,0,0,1,0,0,synonyms,1,0,0
Windsock is not a synonym of an air sock.,windsock,air sock,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",0,1,1,0,0,synonyms,1,0,0
Grandmother is a synonym of an immediate payment.,grandmother,immediate payment,"gran, grandma, grannie, granny, nan, nanna",0,0,1,0,0,synonyms,1,0,0
Tv is not a synonym of an orator.,tv,orator,"boob tube, goggle box, idiot box, television, television receiver, television set, telly, tv set",1,1,1,0,0,synonyms,0,1,0
Pipal is a synonym of a pipal tree.,pipal,pipal tree,"bo tree, ficus religiosa, peepul, pipal tree, pipul, sacred fig",1,0,1,0,0,synonyms,1,0,0
Leash is a synonym of a lead.,leash,lead,"lead, tether",1,0,1,0,0,synonyms,1,0,0
Corticoid is a synonym of a stringency.,corticoid,stringency,"adrenal cortical steroid, corticosteroid",0,0,1,0,0,synonyms,1,0,0
Seraglio is not a synonym of a serail.,seraglio,serail,"hareem, harem, serail",0,1,1,0,0,synonyms,0,0,1
Abruption is a synonym of a recoverer.,abruption,recoverer,breaking off,0,0,1,0,0,synonyms,0,1,0
Quadruplet is a synonym of an iv.,quadruplet,iv,"4, four, foursome, iv, little joe, quartet, quatern, quaternary, quaternion, quaternity, tetrad",1,0,1,0,0,synonyms,1,0,0
Catamount is not a synonym of a deputation.,catamount,deputation,"cougar, felis concolor, mountain lion, painter, panther, puma",1,1,1,0,0,synonyms,1,0,0
Pyjama is not a synonym of a pajama.,pyjama,pajama,"jammies, pajama, pj's",0,1,1,0,0,synonyms,0,1,0
Hafnium is a synonym of fisticuffs.,hafnium,fisticuffs,"atomic number 72, hf",0,0,1,0,0,synonyms,0,1,0
Liter is a synonym of a litre.,liter,litre,"cubic decimeter, cubic decimetre, l, litre",1,0,1,0,0,synonyms,1,0,0
Housecoat is not a synonym of a wrapper.,housecoat,wrapper,"neglige, negligee, peignoir, wrapper",0,1,1,0,0,synonyms,0,0,1
Spending is a synonym of an outgo.,spending,outgo,"expenditure, outgo, outlay",1,0,1,0,0,synonyms,0,1,0
Relapse is a synonym of a meal.,relapse,meal,"backsliding, lapse, lapsing, relapsing, reversion, reverting",0,0,1,0,0,synonyms,1,0,0
Whatchamacallit is a synonym of a mamey.,whatchamacallit,mamey,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",0,0,1,0,0,synonyms,1,0,0
Hertz is not a synonym of a hz.,hertz,hz,"cps, cycle, cycle per second, cycles/second, hz",0,1,1,0,0,synonyms,1,0,0
Vexation is not a synonym of a tnt.,vexation,tnt,"annoyance, annoying, irritation",1,1,1,0,0,synonyms,0,0,1
Frangipani is not a synonym of a vicinity.,frangipani,vicinity,frangipanni,1,1,1,0,0,synonyms,0,0,1
Software is a synonym of a shi'ite muslim.,software,shi'ite muslim,"computer software, package, software package, software program, software system",0,0,1,0,0,synonyms,1,0,0
Consumption is a synonym of a captaincy.,consumption,captaincy,"phthisis, pulmonary tuberculosis, wasting disease, white plague",0,0,1,0,0,synonyms,0,0,1
Typeface is a synonym of a ginmill.,typeface,ginmill,"case, face, font, fount",0,0,1,0,0,synonyms,0,1,0
Catamount is a synonym of sightlessness.,catamount,sightlessness,"cougar, felis concolor, mountain lion, painter, panther, puma",0,0,1,0,0,synonyms,1,0,0
Defeat is not a synonym of a frustration.,defeat,frustration,frustration,0,1,1,0,0,synonyms,0,1,0
Protrusion is not a synonym of a jutting.,protrusion,jutting,"jut, jutting, projection",0,1,1,0,0,synonyms,0,0,1
Grapple is not a synonym of a grappling.,grapple,grappling,"grappling, hand-to-hand struggle, wrestle, wrestling",0,1,1,0,0,synonyms,1,0,0
Standpoint is not a synonym of an integrating.,standpoint,integrating,"point of view, stand, viewpoint",1,1,1,0,0,synonyms,1,0,0
Railway is not a synonym of a railroad track.,railway,railroad track,"railroad, railroad track",0,1,1,0,0,synonyms,0,1,0
Docker is a synonym of a fire warden.,docker,fire warden,"dock-walloper, dock worker, dockhand, dockworker, loader, longshoreman, lumper, stevedore",0,0,1,0,0,synonyms,0,1,0
Adductor is not a synonym of a forking.,adductor,forking,adductor muscle,1,1,1,0,0,synonyms,0,1,0
Morals is not a synonym of a lady of the house.,morals,lady of the house,"ethical motive, ethics, morality",1,1,1,0,0,synonyms,1,0,0
Collaborator is not a synonym of a closing.,collaborator,closing,"confederate, henchman, partner in crime",1,1,1,0,0,synonyms,0,1,0
Immunization is a synonym of an immunisation.,immunization,immunisation,immunisation,1,0,1,0,0,synonyms,0,0,1
Ml is not a synonym of a pr.,ml,pr,"cc, cubic centimeter, cubic centimetre, mil, milliliter, millilitre",1,1,1,0,0,synonyms,1,0,0
Candidate is not a synonym of a nominee.,candidate,nominee,"campaigner, nominee",0,1,1,0,0,synonyms,1,0,0
Surname is not a synonym of a puzzlement.,surname,puzzlement,"cognomen, family name, last name",1,1,1,0,0,synonyms,0,1,0
Disability is a synonym of a handicap.,disability,handicap,"disablement, handicap, impairment",1,0,1,0,0,synonyms,1,0,0
Permanency is a synonym of a permanence.,permanency,permanence,permanence,1,0,1,0,0,synonyms,1,0,0
Doings is not a synonym of a pictorial representation.,doings,pictorial representation,"behavior, behaviour, conduct",1,1,1,0,0,synonyms,1,0,0
Decadence is a synonym of a crisphead lettuce.,decadence,crisphead lettuce,"decadency, degeneracy, degeneration",0,0,1,0,0,synonyms,1,0,0
Engram is a synonym of a memory trace.,engram,memory trace,memory trace,1,0,1,0,0,synonyms,0,1,0
Demagoguery is not a synonym of a blood cell.,demagoguery,blood cell,demagogy,1,1,1,0,0,synonyms,0,1,0
Oculist is not a synonym of laxness.,oculist,laxness,optometrist,1,1,1,0,0,synonyms,1,0,0
Shootout is not a synonym of a battle of solferino.,shootout,battle of solferino,"gunfight, gunplay",1,1,1,0,0,synonyms,1,0,0
Pyjama is a synonym of a pajama.,pyjama,pajama,"jammies, pajama, pj's",1,0,1,0,0,synonyms,0,1,0
Peril is not a synonym of a milometer.,peril,milometer,"endangerment, hazard, jeopardy, risk",1,1,1,0,0,synonyms,1,0,0
Caressing is a synonym of a triad.,caressing,triad,"cuddling, fondling, hugging, kissing, necking, petting, smooching, snuggling",0,0,1,0,0,synonyms,0,1,0
Bunch is not a synonym of os.,bunch,os,"clump, cluster, clustering",1,1,1,0,0,synonyms,1,0,0
Rounding is not a synonym of a rounding error.,rounding,rounding error,rounding error,0,1,1,0,0,synonyms,1,0,0
Decadence is not a synonym of a recoverer.,decadence,recoverer,"decadency, degeneracy, degeneration",1,1,1,0,0,synonyms,0,1,0
Maidservant is a synonym of an expender.,maidservant,expender,"amah, housemaid, maid",0,0,1,0,0,synonyms,1,0,0
Manatee is not a synonym of trichechus manatus.,manatee,trichechus manatus,trichechus manatus,0,1,1,0,0,synonyms,1,0,0
Adductor is a synonym of an adductor muscle.,adductor,adductor muscle,adductor muscle,1,0,1,0,0,synonyms,0,1,0
Goody is a synonym of a treat.,goody,treat,"dainty, delicacy, kickshaw, treat",1,0,1,0,0,synonyms,1,0,0
Chooser is a synonym of a selector.,chooser,selector,"picker, selector",1,0,1,0,0,synonyms,1,0,0
Salary is a synonym of a fraternisation.,salary,fraternisation,"earnings, pay, remuneration, wage",0,0,1,0,0,synonyms,1,0,0
Hi is not a synonym of a nightwalker.,hi,nightwalker,"hello, how-do-you-do, howdy, hullo",1,1,1,0,0,synonyms,1,0,0
Pecs is not a synonym of a pectoral muscle.,pecs,pectoral muscle,"musculus pectoralis, pectoral, pectoral muscle, pectoralis",0,1,1,0,0,synonyms,1,0,0
Moonflower is not a synonym of a belle de nuit.,moonflower,belle de nuit,"belle de nuit, ipomoea alba",0,1,1,0,0,synonyms,1,0,0
Rotting is a synonym of a putrefaction.,rotting,putrefaction,"breakdown, decomposition, putrefaction, rot",1,0,1,0,0,synonyms,1,0,0
Cringle is not a synonym of a loop.,cringle,loop,"eyelet, grommet, grummet, loop",0,1,1,0,0,synonyms,1,0,0
Grimness is not a synonym of rigorousness.,grimness,rigorousness,"asperity, hardship, rigor, rigorousness, rigour, rigourousness, severeness, severity",0,1,1,0,0,synonyms,0,0,1
Playfulness is a synonym of a gaiety.,playfulness,gaiety,gaiety,1,0,1,0,0,synonyms,1,0,0
Aspergillus is a synonym of genus aspergillus.,aspergillus,genus aspergillus,genus aspergillus,1,0,1,0,0,synonyms,0,0,1
Windsock is a synonym of cervus unicolor.,windsock,cervus unicolor,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",0,0,1,0,0,synonyms,1,0,0
Chasse is a synonym of a submarine.,chasse,submarine,sashay,0,0,1,0,0,synonyms,0,0,1
Mo is a synonym of a molybdenum.,mo,molybdenum,"atomic number 42, molybdenum",1,0,1,0,0,synonyms,1,0,0
Candor is a synonym of a hf.,candor,hf,"candidness, candour, directness, forthrightness, frankness",0,0,1,0,0,synonyms,1,0,0
Obnoxiousness is not a synonym of hatefulness.,obnoxiousness,hatefulness,"hatefulness, objectionableness",0,1,1,0,0,synonyms,0,0,1
Candor is not a synonym of a shepherd.,candor,shepherd,"candidness, candour, directness, forthrightness, frankness",1,1,1,0,0,synonyms,1,0,0
Cony is not a synonym of a git.,cony,git,"coney, mouse hare, pika, rock rabbit",1,1,1,0,0,synonyms,0,1,0
Foyer is a synonym of a hall.,foyer,hall,"antechamber, anteroom, entrance hall, hall, lobby, vestibule",1,0,1,0,0,synonyms,1,0,0
Arteriosclerosis is not a synonym of an induration of the arteries.,arteriosclerosis,induration of the arteries,"arterial sclerosis, coronary-artery disease, hardening of the arteries, induration of the arteries",0,1,1,0,0,synonyms,1,0,0
Ml is a synonym of a cubic centimeter.,ml,cubic centimeter,"cc, cubic centimeter, cubic centimetre, mil, milliliter, millilitre",1,0,1,0,0,synonyms,1,0,0
Collaborator is not a synonym of a glad.,collaborator,glad,"confederate, henchman, partner in crime",1,1,1,0,0,synonyms,1,0,0
Owl is not a synonym of a continuation.,owl,continuation,"bird of minerva, bird of night, hooter",1,1,1,0,0,synonyms,1,0,0
Tansy is a synonym of a deception.,tansy,deception,"golden buttons, scented fern, tanacetum vulgare",0,0,1,0,0,synonyms,0,0,1
Haystack is a synonym of gameness.,haystack,gameness,"hayrick, rick",0,0,1,0,0,synonyms,0,0,1
Candor is not a synonym of a format.,candor,format,"candidness, candour, directness, forthrightness, frankness",1,1,1,0,0,synonyms,1,0,0
Hoagy is a synonym of a cuban sandwich.,hoagy,cuban sandwich,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",1,0,1,0,0,synonyms,1,0,0
Prosecutor is a synonym of a prosecuting officer.,prosecutor,prosecuting officer,"prosecuting attorney, prosecuting officer, public prosecutor",1,0,1,0,0,synonyms,0,0,1
Guncotton is a synonym of a foot.,guncotton,foot,"cellulose nitrate, nitrocellulose, nitrocotton",0,0,1,0,0,synonyms,0,0,1
Curing is a synonym of a solidifying.,curing,solidifying,"hardening, set, solidification, solidifying",1,0,1,0,0,synonyms,1,0,0
Tubful is not a synonym of a luteinizing hormone.,tubful,luteinizing hormone,tub,1,1,1,0,0,synonyms,1,0,0
Foreword is a synonym of a preface.,foreword,preface,"preface, prolusion",1,0,1,0,0,synonyms,0,1,0
Expansiveness is a synonym of a knocker.,expansiveness,knocker,"effusiveness, expansivity",0,0,1,0,0,synonyms,0,1,0
Grimness is not a synonym of a film.,grimness,film,"asperity, hardship, rigor, rigorousness, rigour, rigourousness, severeness, severity",1,1,1,0,0,synonyms,1,0,0
Pajama is a synonym of a drool.,pajama,drool,"jammies, pj's, pyjama",0,0,1,0,0,synonyms,0,1,0
Trailhead is a synonym of a trail head.,trailhead,trail head,trail head,1,0,1,0,0,synonyms,0,1,0
Gladiola is a synonym of gladiolus.,gladiola,gladiolus,"glad, gladiolus, sword lily",1,0,1,0,0,synonyms,1,0,0
Grimness is a synonym of an asperity.,grimness,asperity,"asperity, hardship, rigor, rigorousness, rigour, rigourousness, severeness, severity",1,0,1,0,0,synonyms,0,0,1
Whatchamacallit is not a synonym of a gismo.,whatchamacallit,gismo,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",0,1,1,0,0,synonyms,1,0,0
Changer is a synonym of a record changer.,changer,record changer,"auto-changer, record changer",1,0,1,0,0,synonyms,0,1,0
Incrimination is not a synonym of a mountain.,incrimination,mountain,"blame, inculpation",1,1,1,0,0,synonyms,1,0,0
Context is not a synonym of a setting.,context,setting,"circumstance, setting",0,1,1,0,0,synonyms,0,0,1
Clod is a synonym of a welfare worker.,clod,welfare worker,"ball, chunk, clump, glob, lump",0,0,1,0,0,synonyms,1,0,0
Goody is a synonym of a kickshaw.,goody,kickshaw,"dainty, delicacy, kickshaw, treat",1,0,1,0,0,synonyms,0,0,1
Trine is not a synonym of a selector.,trine,selector,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",1,1,1,0,0,synonyms,1,0,0
Insistence is a synonym of a blood corpuscle.,insistence,blood corpuscle,"imperativeness, insistency, press, pressure",0,0,1,0,0,synonyms,0,0,1
Backdrop is a synonym of a backcloth.,backdrop,backcloth,"backcloth, background",1,0,1,0,0,synonyms,0,0,1
Grime is not a synonym of a rot.,grime,rot,"dirt, filth, grease, grunge, soil, stain",1,1,1,0,0,synonyms,0,0,1
Jamming is not a synonym of a jam.,jamming,jam,"electronic jamming, jam",0,1,1,0,0,synonyms,1,0,0
Defacement is not a synonym of a harvest mite.,defacement,harvest mite,"disfiguration, disfigurement, mutilation",1,1,1,0,0,synonyms,1,0,0
Slobber is not a synonym of a drivel.,slobber,drivel,"dribble, drivel, drool",0,1,1,0,0,synonyms,1,0,0
Proletariat is a synonym of a labor.,proletariat,labor,"labor, labour, working class",1,0,1,0,0,synonyms,1,0,0
Stetson is not a synonym of a homburg.,stetson,homburg,"fedora, felt hat, homburg, trilby",0,1,1,0,0,synonyms,1,0,0
Grapple is not a synonym of a wrestling.,grapple,wrestling,"grappling, hand-to-hand struggle, wrestle, wrestling",0,1,1,0,0,synonyms,1,0,0
Victuals is not a synonym of a pabulum.,victuals,pabulum,"comestible, eatable, edible, pabulum, victual",0,1,1,0,0,synonyms,0,0,1
Chat is not a synonym of a miniaturization.,chat,miniaturization,"confab, confabulation, schmoose, schmooze",1,1,1,0,0,synonyms,1,0,0
Retaliation is not a synonym of a revenge.,retaliation,revenge,revenge,0,1,1,0,0,synonyms,1,0,0
Moniliasis is a synonym of a monilia disease.,moniliasis,monilia disease,"candidiasis, monilia disease",1,0,1,0,0,synonyms,1,0,0
Booze is not a synonym of a strong drink.,booze,strong drink,"hard drink, hard liquor, john barleycorn, liquor, spirits, strong drink",0,1,1,0,0,synonyms,1,0,0
Proletariat is not a synonym of a labour.,proletariat,labour,"labor, labour, working class",0,1,1,0,0,synonyms,1,0,0
Rudeness is a synonym of a manoeuvre.,rudeness,manoeuvre,discourtesy,0,0,1,0,0,synonyms,0,1,0
Bereavement is a synonym of a fishing worm.,bereavement,fishing worm,mourning,0,0,1,0,0,synonyms,0,1,0
Windsock is not a synonym of a wind cone.,windsock,wind cone,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",0,1,1,0,0,synonyms,1,0,0
Salary is a synonym of a wage.,salary,wage,"earnings, pay, remuneration, wage",1,0,1,0,0,synonyms,1,0,0
Adaption is not a synonym of an adaptation.,adaption,adaptation,"adaptation, adjustment",0,1,1,0,0,synonyms,1,0,0
Springbok is not a synonym of a stroll.,springbok,stroll,"antidorcas euchore, antidorcas marsupialis, springbuck",1,1,1,0,0,synonyms,0,1,0
Docker is a synonym of a dockhand.,docker,dockhand,"dock-walloper, dock worker, dockhand, dockworker, loader, longshoreman, lumper, stevedore",1,0,1,0,0,synonyms,0,1,0
Adaption is not a synonym of a hum.,adaption,hum,"adaptation, adjustment",1,1,1,0,0,synonyms,1,0,0
Greenway is not a synonym of a greenbelt.,greenway,greenbelt,greenbelt,0,1,1,0,0,synonyms,0,0,1
Cobblestone is not a synonym of a sett.,cobblestone,sett,"cobble, sett",0,1,1,0,0,synonyms,1,0,0
Hangout is not a synonym of a pot.,hangout,pot,"haunt, repair, resort, stamping ground",1,1,1,0,0,synonyms,0,0,1
Trend is a synonym of a mart.,trend,mart,"drift, movement",0,0,1,0,0,synonyms,1,0,0
Viewing is a synonym of a screening.,viewing,screening,"screening, showing",1,0,1,0,0,synonyms,0,1,0
Superstar is a synonym of a mavin.,superstar,mavin,"ace, adept, champion, genius, hotshot, maven, mavin, sensation, star, virtuoso, whizz, whiz, wiz, wizard",1,0,1,0,0,synonyms,1,0,0
Infringement is a synonym of a bannister.,infringement,bannister,violation,0,0,1,0,0,synonyms,0,0,1
Foyer is not a synonym of a lobby.,foyer,lobby,"antechamber, anteroom, entrance hall, hall, lobby, vestibule",0,1,1,0,0,synonyms,1,0,0
Infiniteness is a synonym of unboundedness.,infiniteness,unboundedness,"boundlessness, infinitude, limitlessness, unboundedness",1,0,1,0,0,synonyms,0,0,1
Victuals is a synonym of a victual.,victuals,victual,"comestible, eatable, edible, pabulum, victual",1,0,1,0,0,synonyms,1,0,0
Tv is not a synonym of a mizenmast.,tv,mizenmast,"boob tube, goggle box, idiot box, television, television receiver, television set, telly, tv set",1,1,1,0,0,synonyms,0,1,0
Defacement is not a synonym of a mutilation.,defacement,mutilation,"disfiguration, disfigurement, mutilation",0,1,1,0,0,synonyms,1,0,0
Wyvern is not a synonym of a wivern.,wyvern,wivern,wivern,0,1,1,0,0,synonyms,0,0,1
Sunup is not a synonym of a dayspring.,sunup,dayspring,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",0,1,1,0,0,synonyms,1,0,0
Whatchamacallit is a synonym of a galax urceolata.,whatchamacallit,galax urceolata,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",0,0,1,0,0,synonyms,1,0,0
Pseudopod is not a synonym of a pseudopodium.,pseudopod,pseudopodium,pseudopodium,0,1,1,0,0,synonyms,1,0,0
Changer is not a synonym of a pulmonary tuberculosis.,changer,pulmonary tuberculosis,"auto-changer, record changer",1,1,1,0,0,synonyms,0,1,0
Tribulation is a synonym of an enthronization.,tribulation,enthronization,"trial, visitation",0,0,1,0,0,synonyms,0,1,0
Driveway is not a synonym of a private road.,driveway,private road,"drive, private road",0,1,1,0,0,synonyms,0,1,0
Housebreaking is not a synonym of a green.,housebreaking,green,"break-in, breaking and entering",1,1,1,0,0,synonyms,1,0,0
Adaption is not a synonym of an adjustment.,adaption,adjustment,"adaptation, adjustment",0,1,1,0,0,synonyms,1,0,0
Peyote is a synonym of a sheepcote.,peyote,sheepcote,"lophophora williamsii, mescal, mezcal",0,0,1,0,0,synonyms,0,1,0
Grandmother is a synonym of a granny.,grandmother,granny,"gran, grandma, grannie, granny, nan, nanna",1,0,1,0,0,synonyms,1,0,0
Advert is a synonym of an advertizement.,advert,advertizement,"ad, advertisement, advertising, advertizement, advertizing",1,0,1,0,0,synonyms,1,0,0
Inebriation is not a synonym of a body.,inebriation,body,"drunkenness, inebriety, insobriety, intoxication, tipsiness",1,1,1,0,0,synonyms,1,0,0
Fate is not a synonym of a lot.,fate,lot,"circumstances, destiny, fortune, lot, luck, portion",0,1,1,0,0,synonyms,1,0,0
Ladyfish is a synonym of a tenpounder.,ladyfish,tenpounder,"elops saurus, tenpounder",1,0,1,0,0,synonyms,0,0,1
Hoagy is a synonym of an abidance.,hoagy,abidance,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",0,0,1,0,0,synonyms,1,0,0
Humor is a synonym of flightiness.,humor,flightiness,"humour, mood, temper",0,0,1,0,0,synonyms,0,1,0
Restorer is not a synonym of a disablement.,restorer,disablement,"preserver, refinisher, renovator",1,1,1,0,0,synonyms,1,0,0
Pubis is a synonym of a pubic bone.,pubis,pubic bone,"os pubis, pubic bone",1,0,1,0,0,synonyms,0,1,0
Learning is a synonym of an erudition.,learning,erudition,"encyclopaedism, encyclopedism, eruditeness, erudition, learnedness, scholarship",1,0,1,0,0,synonyms,1,0,0
Corsage is a synonym of a thruway.,corsage,thruway,"bouquet, nosegay, posy",0,0,1,0,0,synonyms,0,1,0
Vim is a synonym of a cacao tree.,vim,cacao tree,"energy, vitality",0,0,1,0,0,synonyms,1,0,0
Whatchamacallit is a synonym of a whatchamacallum.,whatchamacallit,whatchamacallum,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",1,0,1,0,0,synonyms,1,0,0
Amble is not a synonym of a peignoir.,amble,peignoir,"perambulation, promenade, saunter, stroll",1,1,1,0,0,synonyms,1,0,0
Seediness is a synonym of shabbiness.,seediness,shabbiness,"manginess, shabbiness, sleaziness",1,0,1,0,0,synonyms,1,0,0
Gc is not a synonym of an enterprise.,gc,enterprise,"gigacycle, ghz, gigacycle per second, gigahertz",1,1,1,0,0,synonyms,1,0,0
Booze is a synonym of a hall.,booze,hall,"hard drink, hard liquor, john barleycorn, liquor, spirits, strong drink",0,0,1,0,0,synonyms,1,0,0
Grimness is a synonym of a thorazine.,grimness,thorazine,"asperity, hardship, rigor, rigorousness, rigour, rigourousness, severeness, severity",0,0,1,0,0,synonyms,0,0,1
Stallion is a synonym of an entire.,stallion,entire,entire,1,0,1,0,0,synonyms,0,1,0
Fighting is a synonym of a fortune.,fighting,fortune,"combat, fight, scrap",0,0,1,0,0,synonyms,0,1,0
Pipal is a synonym of ficus religiosa.,pipal,ficus religiosa,"bo tree, ficus religiosa, peepul, pipal tree, pipul, sacred fig",1,0,1,0,0,synonyms,1,0,0
Permanency is not a synonym of a permanence.,permanency,permanence,permanence,0,1,1,0,0,synonyms,1,0,0
Veiling is a synonym of a grandma.,veiling,grandma,"gauze, netting",0,0,1,0,0,synonyms,0,1,0
Wellbeing is a synonym of an upbeat.,wellbeing,upbeat,"eudaemonia, eudaimonia, upbeat, welfare, well-being",1,0,1,0,0,synonyms,1,0,0
Dace is a synonym of leuciscus leuciscus.,dace,leuciscus leuciscus,leuciscus leuciscus,1,0,1,0,0,synonyms,0,0,1
Vena is a synonym of a cluster.,vena,cluster,"vein, venous blood vessel",0,0,1,0,0,synonyms,0,0,1
Windsock is a synonym of a drogue.,windsock,drogue,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",1,0,1,0,0,synonyms,1,0,0
Jackfruit is a synonym of a jak.,jackfruit,jak,"jack, jak",1,0,1,0,0,synonyms,0,0,1
Grocery is a synonym of a foodstuff.,grocery,foodstuff,foodstuff,1,0,1,0,0,synonyms,0,1,0
Infiniteness is not a synonym of boundlessness.,infiniteness,boundlessness,"boundlessness, infinitude, limitlessness, unboundedness",0,1,1,0,0,synonyms,1,0,0
Goody is not a synonym of a dainty.,goody,dainty,"dainty, delicacy, kickshaw, treat",0,1,1,0,0,synonyms,0,0,1
Whitlow is not a synonym of a felon.,whitlow,felon,felon,0,1,1,0,0,synonyms,0,0,1
Protrusion is not a synonym of a projection.,protrusion,projection,"jut, jutting, projection",0,1,1,0,0,synonyms,0,1,0
Booze is a synonym of spirits.,booze,spirits,"hard drink, hard liquor, john barleycorn, liquor, spirits, strong drink",1,0,1,0,0,synonyms,1,0,0
Pipal is a synonym of a pipul.,pipal,pipul,"bo tree, ficus religiosa, peepul, pipal tree, pipul, sacred fig",1,0,1,0,0,synonyms,1,0,0
Lubricant is not a synonym of a lubricator.,lubricant,lubricator,"lube, lubricating substance, lubricator",0,1,1,0,0,synonyms,1,0,0
Chimera is not a synonym of a chimaera.,chimera,chimaera,chimaera,0,1,1,0,0,synonyms,0,1,0
Clod is a synonym of a forced feeding.,clod,forced feeding,"ball, chunk, clump, glob, lump",0,0,1,0,0,synonyms,1,0,0
Turmoil is not a synonym of a stinkpot.,turmoil,stinkpot,"agitation, excitement, hullabaloo, upheaval",1,1,1,0,0,synonyms,1,0,0
Goldbricking is not a synonym of a slacking.,goldbricking,slacking,"goofing off, shirking, slacking, soldiering",0,1,1,0,0,synonyms,1,0,0
Sunup is not a synonym of a morning.,sunup,morning,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",0,1,1,0,0,synonyms,1,0,0
Lockbox is a synonym of a telly.,lockbox,telly,"deposit box, safe-deposit, safe-deposit box, safety-deposit, safety deposit box",0,0,1,0,0,synonyms,1,0,0
Tv is a synonym of a diet.,tv,diet,"boob tube, goggle box, idiot box, television, television receiver, television set, telly, tv set",0,0,1,0,0,synonyms,0,1,0
Pipal is not a synonym of a pipul.,pipal,pipul,"bo tree, ficus religiosa, peepul, pipal tree, pipul, sacred fig",0,1,1,0,0,synonyms,1,0,0
Imp is not a synonym of a destiny.,imp,destiny,"brownie, elf, gremlin, hob, pixie, pixy",1,1,1,0,0,synonyms,1,0,0
Vexation is a synonym of an annoying.,vexation,annoying,"annoyance, annoying, irritation",1,0,1,0,0,synonyms,0,0,1
Despondency is not a synonym of disconsolateness.,despondency,disconsolateness,"despondence, disconsolateness, heartsickness",0,1,1,0,0,synonyms,0,1,0
Woodwind is a synonym of a wood.,woodwind,wood,"wood, woodwind instrument",1,0,1,0,0,synonyms,1,0,0
Twat is not a synonym of a snatch.,twat,snatch,"cunt, puss, pussy, slit, snatch",0,1,1,0,0,synonyms,1,0,0
Bemusement is not a synonym of a marquee.,bemusement,marquee,"bafflement, befuddlement, bewilderment, mystification, obfuscation, puzzlement",1,1,1,0,0,synonyms,1,0,0
Whatchamacallit is a synonym of a trunk.,whatchamacallit,trunk,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",0,0,1,0,0,synonyms,1,0,0
Incompleteness is a synonym of a last name.,incompleteness,last name,rawness,0,0,1,0,0,synonyms,0,1,0
Caressing is not a synonym of a hugging.,caressing,hugging,"cuddling, fondling, hugging, kissing, necking, petting, smooching, snuggling",0,1,1,0,0,synonyms,1,0,0
Publicist is a synonym of a visitation.,publicist,visitation,"publiciser, publicizer",0,0,1,0,0,synonyms,1,0,0
Formatting is not a synonym of an immunosuppressive.,formatting,immunosuppressive,"data format, data formatting, format",1,1,1,0,0,synonyms,1,0,0
Trine is a synonym of a triad.,trine,triad,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",1,0,1,0,0,synonyms,1,0,0
Attendee is not a synonym of an attender.,attendee,attender,"attendant, attender, meeter",0,1,1,0,0,synonyms,1,0,0
Defeat is a synonym of an affinity.,defeat,affinity,frustration,0,0,1,0,0,synonyms,0,1,0
Catamount is a synonym of kine.,catamount,kine,"cougar, felis concolor, mountain lion, painter, panther, puma",0,0,1,0,0,synonyms,1,0,0
